"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P99"
"Jan",219.52,198.52,172,143,129,118,108,99.96,93.2,87.2,81.8,75.9,70.7,65.46,60.34,56.6,51.5,45.38,38.32,33.1,26.9,22
"Feb",196.66,178,151,131,114,103,95.65,88.6,83,76.6,71,66.45,61.565,57.8,54.195,50.5,46.2,42.5,38.5,34,27.2,17.4
"Mar",157.76,140,124.8,101,90.42,82.2,75.2,69.7,65.1,61.4,58.02,55.5,52.68,49.3,46.2,43.3,40.5,37.4,33.1,28.3,24.02,15.648
"Apr",107.51,97.706,89.5,81,73.9,68.8,64.175,60.9,57.8,55.2,52.1,49.15,46.305,43.3,41,38.1,35.6,32.3,29.5,27.1,23.345,13.747
"May",82.5519999999999,77.952,71.48,64.72,58.64,53.94,48.9,44.7,42.06,39.6,37.5,34.8,31.1,28.26,25.7,23.6,20.6,17.8,15.56,13.8,11,8.2316
"Jun",65.051,58.906,48.7,40.51,34,29.4,26,23.13,20.9,18.9,16.9,15.5,14.4,13.2,11.8,10.1,8.815,7.99,7.62,7.28,6.74,5.5849
"Jul",38.4279999999999,33.952,25.28,20.06,16.64,14.44,12.7,11.7,10.7,9.914,9.032,8.35,7.94,7.626,7.41,7.242,7.03,6.808,6.51,6.18,5.3,4.4444
"Aug",17.5,15.9,12.58,10.2,8.98,8.29,7.82,7.62,7.48,7.35,7.22,7.08,6.97,6.83,6.63,6.34,6.06,5.49,4.87,4.59,3.51,1.772
"Sep",37.9549999999999,29.818,20.355,16,13.4,11,9.4075,8.503,7.8085,7.554,7.36,7.16,6.99,6.76,6.43,6.09,5.66,4.78,4.1035,3.11,2.15,1.00521
"Oct",108,96,74.7399999999999,55.2,45.3,38.2,31.1,27.6,23.26,20.5,17.7,15.6,13.78,12.5,11,9.85,8.5,7.67,6.89,5.72,4.27,2.6972
"Nov",213.51,202,159.55,120,104,96,86.975,81.3,75.6,68.8,62.795,58.4,53,48.4,43.6,39.1,34.3,30.3,26.6,21.8,13.445,6.6647
"Dec",221.039999999999,200.52,171.8,147,136,124.2,116,110,103,96.74,91.24,85.5,81,75.52,70,64.32,58.9,53.18,46.2,38.2,28.5,21.7
