"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg","Q030-avg","Q060-avg","Q090-avg"
"PIII",0.01,100,2.417,2.492,2.552,2.647,2.773,3.238,3.737
"PIII",0.05,20,2.95,3.066,3.163,3.291,3.404,3.769,4.11
"PIII",0.1,10,3.25,3.384,3.5,3.646,3.76,4.081,4.368
"PIII",0.2,5,3.623,3.773,3.91,4.074,4.201,4.487,4.749
"PIII",0.5,2,4.349,4.507,4.671,4.861,5.057,5.355,5.762
"PIII",0.8,1.25,5.061,5.185,5.352,5.549,5.887,6.355,7.328
"PIII",0.9,1.111,5.415,5.502,5.661,5.854,6.296,6.935,8.477
"PIII",0.95,1.053,5.693,5.74,5.888,6.073,6.614,7.445,9.665
"PIII",0.975,1.026,5.922,5.929,6.062,6.24,6.875,7.912,10.916
"PIII",0.98,1.02,5.988,5.982,6.11,6.285,6.949,8.055,11.336
"PIII",0.99,1.01,6.172,6.126,6.24,6.406,7.157,8.482,12.699
