"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"P01",321,245.45,209.52,131.61,84.0820017275998,63.9539994032999,40.5,13.3130001159,37.7050015299999,157.13,304,306.52
"P02",282.26,229.8,188.26,120,79.13,57.20000076,35.5040009346,11.69999981,34.4759990706,125,282.22,269.52
"P05",239.65,186,161.65,107,72.80000305,49.0049999235,25.364999487,9.64949994045,23.314999297,90.9650005355,213.05,231
"P10",194,154,132.3,93.910001377,65.830002594,40.40000153,17.5,8.0960000042,16.70000076,64.090000915,161.1,195
"P15",169.9,133,112.95,85,60.294999316,32.215000532,14.3949996485,7.17899982895,14.19999981,49.7899992015,134.15,173
"P20",152.6,122,101,77.34000244,54.29999924,26.819999316,12.30000019,6.7159998892,11.919999696,39.519999694,120,157.6
"P25",141,114,92.90000153,72.4250011475,49,23.025000095,10.80000019,6.429999828,9.350000381,32.5,111,146
"P30",129,107,85.40000153,68,43.70000076,20.630000494,9.7990001681,6.119999886,8.2630002977,27.20000076,103,135
"P35",120.55,101,79,63.70000076,40.0549991585,18.79999924,8.569999695,5.940000057,7.3705000402,22.39999962,95.5,126
"P40",112,95.40000153,74.84000244,59.70000076,36.619998928,16.839999392,7.7539999962,5.800000191,6.7180000304,19,87.5,118
"P45",106,89.149999615,71.385001758,56,33.40000153,15.19999981,7.10700013685,5.670000076,6.269999981,15.984999943,79.59999847,111
"P50",98.650001525,82.90000153,68.85000229,52.40000153,31,13.60000038,6.7550001145,5.550000191,6.055000067,14.19999981,71.09999847,104
"P55",92.214997865,77.275001525,65.114998242,48.6549997295,29,12,6.4929998397,5.460000038,5.860000134,12.80000019,64.80000305,94.90000153
"P60",84.93999939,73.09999847,62.59999847,45.659999844,26.39999962,10.69999981,6.25,5.3679999356,5.659999847,11.580000304,57.20000076,88.09999847
"P65",78.19999695,68.5249996175,58.9450008415,43.59999847,23.70000076,9.0965003012,6.07900016345,5.25450010305,5.5,10.19999981,51.895000266,81.30000305
"P70",70.810002898,64.099998475,55.40000153,41.29999924,21.309999278,8.159999847,5.849999905,5.139999866,5.340000153,8.7650002481,46.90000153,73.70999756
"P75",65.80000305,60,51.29999924,38.5749988525,18.349999905,7.579999924,5.659999847,5,5.230000019,7.617499948,42.5,66.0749988525
"P80",58.59999847,54.90000153,47.20000076,35.79999924,16.10000038,6.9479998586,5.4639999388,4.860000134,5.03000021,6.6739999768,37.70000076,58.59999847
"P85",49.59999847,49.59999847,41.910001377,32.29999924,14.19999981,6.550000191,5.25,4.610000134,4.789999962,5.7805001976,31.39999962,51.4050014535
"P90",40.410000228,43.90000153,36.069998929,28.479999924,12.19999981,6.28000021,4.960000038,4.349999905,4.389999866,5.2670000554,20.090000342,44.269999696
"P95",31.4800004940001,36.94999981,29.235000228,23.489999962,9.86699981695,5.579999924,4.35349998515,3.880000114,3.88950010545,4.4234999892,10.795000171,36.5
"P99",21.8739997682,23.254999924,20.3960000988,13.39999962,7.41220008354,3.950000048,3.089999914,3.02739997347,2.86389989149,3.18610006077,4.72379997264001,26.7739993882
